entry,exit_z,total_pnl_rub,trade_count,max_drawdown_rub,gap,valid
0.8,1.5,-116399.54809272398,57,-156214.5377399116,-0.7,False
0.8,1.6,-95764.71173762051,52,-151354.6135738142,-0.8,False
0.8,1.7,-85112.8392601605,45,-132954.56879953342,-0.9,False
0.8,1.8,-79776.30828650334,40,-131977.44937656948,-1.0,False
0.8,1.9,-76935.85201848156,35,-128171.75240541623,-1.1,False
0.8,2.0,-80570.83061015874,28,-133485.34960023034,-1.2,False
0.8,2.1,-86455.93059172889,24,-140024.88886288984,-1.3,False
0.8,2.2,-44739.781584625045,13,-90027.98781348948,-1.4,False
0.8,2.3,-45377.604004745255,12,-90665.81023360969,-1.5,False
0.8,2.4,-51900.483601181346,9,-97188.68983004577,-1.6,False
0.8,2.5,-41587.5420467989,6,-86875.74827566333,-1.7,False
0.9,0.0,252494.542901129,93,-47303.90097487724,0.9,True
0.9,0.1,267322.629168319,105,-47303.90097487724,0.8,True
0.9,0.2,270128.07424223697,115,-47303.90097487724,0.7,True
0.9,0.3,266066.722120951,128,-47303.90097487724,0.6,True
0.9,0.4,282626.7996386127,151,-42873.22396844311,0.5,True
0.9,0.5,303483.32091430016,188,-44334.07569977778,0.4,True
0.9,0.6,328987.6308584529,236,-43410.18402055593,0.3,True
0.9,0.7,344043.9558086488,306,-42472.72572623828,0.2,True
0.9,0.8,316043.9144470083,400,-41322.108147754334,0.1,True
0.9,0.9,262177.28128923016,599,-40440.777735711104,0.0,False
0.9,1.0,91569.19864513933,340,-37591.96824187302,-0.1,False
0.9,1.1,-41330.860608722134,212,-88892.45642793024,-0.2,False
0.9,1.2,-82018.72375326663,118,-121404.25081561343,-0.3,False
0.9,1.3,-82054.26728156164,97,-122147.70801870275,-0.4,False
0.9,1.4,-96612.01300899268,74,-136612.24162199156,-0.5,False
0.9,1.5,-104052.88920089071,65,-143263.3462559558,-0.6,False
0.9,1.6,-85613.50289497833,58,-136767.32282863447,-0.7,False
0.9,1.7,-76892.37950411506,51,-125669.27976383278,-0.8,False
0.9,1.8,-72990.66608256647,44,-126126.9778929774,-0.9,False
0.9,1.9,-71718.47807992819,38,-122956.79252292705,-1.0,False
0.9,2.0,-79809.72232735709,31,-132724.24131742868,-1.1,False
0.9,2.1,-82897.37303512834,26,-136466.3313062893,-1.2,False
0.9,2.2,-49336.77982597159,15,-93634.98605483602,-1.3,False
0.9,2.3,-51800.441825512695,14,-96098.64805437712,-1.4,False
0.9,2.4,-54676.87004956164,9,-98975.07627842607,-1.5,False
0.9,2.5,-43960.58402200107,6,-88258.79025086551,-1.6,False
1.0,0.0,223326.862454255,81,-47303.90097487724,1.0,True
1.0,0.1,239262.23612488082,90,-47303.90097487724,0.9,True
1.0,0.2,237328.6276759709,97,-47303.90097487724,0.8,True
1.0,0.3,236057.65138000387,108,-47303.90097487724,0.7,True
1.0,0.4,248232.11813675755,124,-42873.22396844314,0.6,True
1.0,0.5,264377.3191520338,148,-44334.07569977778,0.5,True
1.0,0.6,294420.8952233738,183,-43410.18402055596,0.4,True
1.0,0.7,304693.08459325857,223,-41832.92197654108,0.3,True
1.0,0.8,296405.05168197333,282,-39497.33788981108,0.2,True
1.0,0.9,305250.81399998686,402,-36437.21360275068,0.1,True
1.0,1.0,281484.37983984797,627,-29109.751163938636,0.0,False
1.0,1.1,-13358.640898813654,309,-57550.56464862596,-0.1,False
1.0,1.2,-58132.0213432256,165,-98140.86594442713,-0.2,False
1.0,1.3,-73454.13126128123,125,-113006.1483146098,-0.3,False
1.0,1.4,-109097.69103437838,103,-149281.30652378657,-0.4,False
1.0,1.5,-122580.4045429872,85,-161329.23828382697,-0.5,False
1.0,1.6,-100273.41492457586,74,-143153.50486593982,-0.6,False
1.0,1.7,-75483.99057591494,61,-117636.27345397303,-0.7,False
1.0,1.8,-70361.68843111306,52,-120386.5621791023,-0.8,False
1.0,1.9,-73997.87492011796,42,-125234.46203290117,-0.9,False
1.0,2.0,-85517.92542347015,35,-138200.47086475798,-1.0,False
1.0,2.1,-90307.85991825895,29,-144082.67552869607,-1.1,False
1.0,2.2,-62236.60357357303,18,-105940.80980243746,-1.2,False
1.0,2.3,-60883.0137039615,16,-104587.21993282594,-1.3,False
1.0,2.4,-61368.41716720399,11,-105072.62339606843,-1.4,False
1.0,2.5,-46276.5695618657,6,-89980.77579073013,-1.5,False
1.1,0.0,238228.63391441264,74,-47303.90097487724,1.1,True
1.1,0.1,234255.86973773388,78,-47303.90097487724,1.0,True
