strategy,entry_z,exit_z,lookback_days,entry_pct,exit_band_pp,red_zone,pnl,trades,mdd,win_pct,median_hold_h,hold_gt_48h,red_zone_exits,score
z,0.5,0.3,,,,losing,503474.8422949796,1140,58854.553176299116,79.29824561403508,1.5,92,137,482875.7486832749
z,1.1,0.65,,,,losing,506787.5704283953,695,69915.2200143676,82.01438848920863,3.0,99,110,482317.2434233666
z,1.05,0.6,,,,losing,505559.6307819351,694,71769.95147973661,82.70893371757926,3.25,102,110,480440.1477640273
z,0.8,0.45,,,,losing,500157.501539884,929,57685.550004928606,81.3778256189451,2.0,86,139,479967.55903815903
z,0.5,0.4,,,,losing,498743.67709302023,1457,59773.13886276525,75.36032944406314,1.0,85,129,477823.0784910524
percentile,,,30,90.0,0.2,off,489381.1029583661,715,59160.2461109375,66.57342657342657,0.5,70,0,468675.01681953797
z,1.0,0.45,,,,losing,488606.18598289066,638,62167.15414418127,79.78056426332289,4.5,114,124,466847.6820324272
z,0.9,0.45,,,,losing,488095.7266540455,764,64368.90612491976,80.10471204188482,3.0,102,142,465566.6095103236
percentile,,,30,92.0,0.2,off,484498.8313279801,600,58267.137032904255,70.5,0.75,65,0,464105.3333664636
percentile,,,30,93.0,0.2,off,482021.4417526543,543,55937.142893536424,72.55985267034991,0.75,64,0,462443.44173991657
z,1.1,0.6,,,,losing,485847.935919898,649,73559.93080525506,81.66409861325116,3.75,102,113,460101.9601380587
z,0.95,0.45,,,,losing,480834.71801446646,693,60343.7299923676,79.50937950937951,4.0,103,136,459714.4125171378
z,1.05,0.5,,,,losing,482031.0972908898,622,75525.63109263335,80.38585209003216,4.5,109,120,455597.1264084682
z,1.0,0.4,,,,losing,476814.9887071666,611,69656.3240311588,78.39607201309329,6.0,117,128,452435.275296261
z,1.05,0.55,,,,losing,474309.34997489717,657,71769.9514797366,81.27853881278538,4.0,105,116,449189.86695698934
z,0.9,0.4,,,,losing,468890.7790776424,727,65456.490395511,78.2668500687758,4.0,103,152,445981.0074392136
z,0.55,0.45,,,,losing,464549.09438306687,1490,65380.88765049898,74.76510067114094,0.75,88,122,441665.7837053922
percentile,,,30,95.0,0.2,off,453848.47942953557,428,54658.913910656585,77.10280373831776,1.0,62,0,434717.8595608058
z,0.95,0.4,,,,losing,455433.36995484796,662,65621.900468123,77.64350453172206,4.75,104,144,432465.7047910049
z,0.8,0.4,,,,losing,455221.9203615482,858,65098.32094122656,80.18648018648018,2.25,91,150,432437.5080321189
percentile,,,60,90.0,0.2,off,441433.7884762848,421,43389.83197161363,80.04750593824228,1.25,55,0,426247.34728622006
z,1.1,0.55,,,,losing,448049.79554154334,618,73559.93080525506,79.6116504854369,4.5,108,120,422303.81975970406
z,0.55,0.5,,,,losing,446641.90989705035,1692,69682.71136569993,70.2127659574468,0.75,88,116,422252.9609190554
z,1.1,0.5,,,,losing,446230.35942276166,584,76729.64977780166,78.25342465753425,5.75,113,125,419374.98200053105
percentile,,,30,97.0,0.2,off,434563.7232236435,293,54658.913910656585,81.91126279863481,2.5,57,0,415433.1033549137
z,0.5,0.45,,,,losing,435179.6243079708,1688,58423.81295590452,70.31990521327015,0.75,84,123,414731.28977340425
percentile,,,60,92.0,0.2,off,429493.75002054876,347,43120.89158512454,82.13256484149856,1.5,51,0,414401.4379657552
z,0.65,0.35,,,,losing,451141.70278179966,828,107077.89927811534,80.07246376811594,2.25,80,133,413664.4380344593
z,0.85,0.35,,,,losing,438727.9852171189,649,84290.61085420937,75.96302003081664,4.5,94,147,409226.2714181456
percentile,,,90,90.0,0.2,off,421222.7827974801,321,50741.9700432877,87.85046728971963,1.75,51,0,403463.09328232944
z,0.7,0.35,,,,losing,434991.86960113735,789,95526.57474755554,79.59442332065906,2.25,82,135,401557.5684394929
percentile,,,60,93.0,0.2,off,414900.1761699023,319,42993.864430764865,83.38557993730407,1.5,50,0,399852.3236191346
percentile,,,30,97.0,0.4,off,404003.44766734785,437,47406.263553020835,61.327231121281464,0.5,54,0,387411.25542379054
z,0.7,0.3,,,,losing,421782.97385409096,712,100657.9648904682,78.37078651685393,2.75,82,138,386552.6861424271
percentile,,,30,97.0,0.3,off,404217.31866560207,364,54658.91391065653,69.23076923076923,0.75,51,0,385086.6987968723
z,1.05,0.45,,,,losing,411387.78103486553,580,75525.63109263337,78.27586206896552,5.75,116,126,384953.8101524439
percentile,,,30,93.0,0.2,always,394618.65451762086,654,39420.18196896126,65.90214067278288,1.75,151,151,380821.5908284844
percentile,,,30,95.0,0.3,off,399981.1184008594,531,55085.6517315543,61.5819209039548,0.5,54,0,380701.1402948154
z,0.65,0.3,,,,losing,419976.4583355303,744,113079.61952601382,79.03225806451613,2.75,83,137,380398.5915014255
z,0.85,0.3,,,,losing,412656.08316674386,586,100298.47271785453,74.40273037542661,5.0,91,146,377551.61771549477
percentile,,,90,92.0,0.2,off,395154.3937429945,261,50741.9700432877,89.272030651341,1.75,47,0,377394.70422784385
percentile,,,30,95.0,0.4,off,392683.60168107325,633,48441.80376089009,55.13428120063191,0.25,58,0,375728.9703647617
percentile,,,60,92.0,0.3,off,389253.85550238536,504,46633.92694070691,60.317460317460316,0.5,47,0,372931.98107313795
percentile,,,30,92.0,0.3,off,391773.016562219,753,59050.04062754364,57.76892430278885,0.25,56,0,371105.5023425787
percentile,,,120,90.0,0.3,off,387919.14545093675,385,52645.684068890434,66.75324675324676,0.75,48,0,369493.1560268251
percentile,,,60,93.0,0.3,off,384857.5851844009,459,45245.791990546364,63.39869281045752,0.5,45,0,369021.55798770965
percentile,,,60,95.0,0.2,off,384384.48559849063,239,45066.33314416482,89.5397489539749,2.5,44,0,368611.26899803296
percentile,,,30,93.0,0.3,off,386642.69457488356,679,56720.04648817581,58.468335787923415,0.25,56,0,366790.678304022
percentile,,,30,95.0,0.2,always,377849.74903247517,541,42997.12244661595,68.39186691312385,3.25,150,150,362800.7561761596
percentile,,,90,93.0,0.2,off,380152.9335537753,232,49720.89897089606,88.79310344827586,2.0,46,0,362750.6189139617
z,1.05,0.4,,,,losing,389097.13814564137,558,78824.21477444672,76.70250896057348,8.375,121,130,361508.662974585
percentile,,,60,90.0,0.3,off,375611.9436036044,594,50906.85845731759,55.89225589225589,0.5,50,0,357794.54314354324
percentile,,,30,92.0,0.4,off,376778.4794786476,861,54764.39199883072,52.72938443670151,0.25,59,0,357610.9422790568
percentile,,,60,95.0,0.3,off,371976.6224128612,343,44485.930631133844,69.09620991253644,0.5,40,0,356406.5466919644
percentile,,,30,93.0,0.5,off,372697.00028656394,895,47311.21916526294,53.5195530726257,0.25,50,0,356138.0735787219
percentile,,,30,93.0,0.4,off,372350.33994484134,783,52434.397859462886,52.490421455938694,0.25,58,0,353998.3006940293
percentile,,,90,95.0,0.2,off,370827.7062744114,165,49720.89897089606,90.9090909090909,5.5,43,0,353425.3916345978
percentile,,,30,90.0,0.3,off,371652.23044892127,885,58016.323085573385,54.01129943502825,0.25,58,0,351346.51736897056
percentile,,,30,92.0,0.5,off,364601.7780884154,984,49641.21330463077,52.947154471544714,0.25,52,0,347227.3534317946
percentile,,,30,95.0,0.5,off,364185.04671719484,706,49001.52059489448,55.6657223796034,0.25,53,0,347034.5145089818
percentile,,,120,90.0,0.2,off,365943.4977099367,227,54416.9666902459,88.54625550660793,3.25,52,0,346897.55936835066
z,1.1,0.45,,,,losing,373404.1829521293,550,76729.64977780166,76.0,7.0,119,132,346548.80552989873
percentile,,,30,97.0,0.5,off,362948.0430613117,491,47561.57727530296,60.28513238289206,0.25,49,0,346301.4910149557
percentile,,,30,92.0,0.2,always,361743.5450039403,712,45304.138803732174,64.46629213483146,1.5,151,151,345887.09642263403
percentile,,,30,97.0,0.2,always,358493.32560677105,393,39367.62516217108,68.95674300254453,11.75,137,137,344714.6568000112
percentile,,,120,90.0,0.4,off,359357.87796587107,500,54905.1751254901,58.4,0.25,48,0,340141.0666719495
percentile,,,90,92.0,0.3,off,357892.6551550845,421,52095.38421860285,69.35866983372921,0.5,42,0,339659.2706785735
percentile,,,90,90.0,0.3,off,356937.5499980491,519,51459.37462142628,63.969171483622354,0.5,45,0,338926.76888054993
percentile,,,90,95.0,0.3,off,356305.13244683295,248,50004.84815325122,77.01612903225806,1.0,43,0,338803.435593195
percentile,,,30,97.0,0.4,always,349324.43170675,515,37351.86063391168,56.89320388349515,0.75,112,112,336251.2804848809
percentile,,,90,93.0,0.3,off,353419.1979683678,366,50984.56562012245,72.1311475409836,0.5,43,0,335574.6000013249
z,0.75,0.35,,,,losing,368365.2106132937,728,98885.69236336552,77.47252747252747,2.75,89,145,333755.21828611573
percentile,,,60,97.0,0.2,off,348206.1844504961,170,42247.72350217984,91.17647058823529,4.375,40,0,333419.4812247332
percentile,,,30,97.0,0.3,always,346586.09502238245,455,39367.62516217108,61.97802197802198,2.75,123,123,332807.4262156226
percentile,,,30,90.0,0.4,off,349697.0847726379,1017,53658.16805207118,51.32743362831859,0.25,61,0,330916.725954413
percentile,,,120,92.0,0.3,off,343572.6497931857,305,52645.684068890434,71.80327868852459,0.75,43,0,325146.66036907403
z,1.0,0.3,,,,losing,360285.693011157,461,100680.87077215117,73.10195227765726,10.75,113,122,325047.3882409041
percentile,,,60,97.0,0.3,off,338376.39774459455,243,44215.701879606175,73.25102880658436,0.75,36,0,322900.9020867324
percentile,,,90,97.0,0.2,off,339957.35631291755,121,49244.9867938387,91.73553719008264,10.5,40,0,322721.610935074
percentile,,,30,95.0,0.4,always,336426.3593474714,719,41291.48810199712,52.71210013908206,0.5,120,120,321974.3385117724
percentile,,,90,95.0,0.4,off,338770.54504983715,320,47993.81790718,58.125,0.25,45,0,321972.70878232416
z,0.75,0.3,,,,losing,357836.4225238069,664,103275.28289408598,76.355421686747,3.5,85,147,321690.07351087686
z,0.9,0.35,,,,losing,345634.94967378717,595,82543.3377847899,73.94957983193277,5.5,104,151,316744.7814491107
percentile,,,120,92.0,0.4,off,333910.6736374212,419,52645.684068890434,61.575178997613364,0.25,42,0,315484.68421330955
z,1.0,0.35,,,,losing,342875.9003781666,506,82420.21650003466,74.11067193675889,10.25,118,128,314028.82460315444
percentile,,,90,97.0,0.4,off,330341.16068136826,201,47517.90573012261,73.13432835820896,0.75,40,0,313709.8936758253
z,1.1,0.4,,,,losing,341408.9098785442,530,80028.23345961503,73.9622641509434,10.0,125,138,313399.028167679
percentile,,,30,90.0,0.5,off,331592.23252029315,1164,56109.29729860595,51.3745704467354,0.25,50,0,311953.9784657811
percentile,,,30,95.0,0.3,always,326250.64556351455,631,42997.12244661595,57.210776545166404,0.75,131,131,311201.652707199
percentile,,,90,95.0,0.2,always,323010.3287013722,264,41739.458525906,71.96969696969697,28.125,124,126,308401.5182173051
percentile,,,60,97.0,0.2,always,318980.85894702695,271,51357.20180837315,71.21771217712177,34.5,128,128,301005.8383140963
percentile,,,60,97.0,0.4,off,315025.7136302408,302,41652.41925825071,66.55629139072848,0.5,36,0,300447.3668898531
percentile,,,30,97.0,0.5,always,313573.3160442641,561,38321.40747197968,57.040998217468804,0.5,99,99,300160.8234290712
percentile,,,30,95.0,0.5,always,314562.14723891416,781,41873.18311419239,53.905249679897565,0.25,106,106,299906.5331489468
percentile,,,120,90.0,0.5,off,322167.21911784087,570,64906.08489068669,53.50877192982456,0.25,43,0,299450.0894061005
percentile,,,30,90.0,0.2,always,318726.45207021316,829,56562.0433984939,61.158021712907114,1.0,158,158,298929.73688074027
percentile,,,30,93.0,0.5,always,315429.7845899869,971,50498.53280800363,52.21421215242019,0.25,105,105,297755.29810718563
percentile,,,90,97.0,0.3,off,313649.60924239503,150,49244.9867938387,85.33333333333333,2.375,39,0,296413.8638645515
percentile,,,90,90.0,0.2,always,311222.2153807371,438,46632.00425017039,72.8310502283105,6.25,110,149,294901.01389317744
percentile,,,60,95.0,0.4,off,312236.8566652286,451,50421.50203260849,56.98447893569845,0.25,40,0,294589.33095381566
percentile,,,60,97.0,0.3,always,310448.54575634626,340,48170.00924206315,63.8235294117647,10.25,122,122,293589.0425216241
percentile,,,120,92.0,0.2,off,312278.6986038587,182,54416.9666902459,88.46153846153847,4.75,46,0,293232.76026227267
percentile,,,120,93.0,0.3,off,311344.0706751752,261,52645.68406889046,75.86206896551724,1.0,41,0,292918.0812510635
percentile,,,60,93.0,0.2,always,310111.59773082257,427,50755.816778727545,69.08665105386417,8.75,133,140,292347.06185826793
z,0.8,0.3,,,,losing,325569.5574310805,614,101103.16447509578,75.7328990228013,4.375,91,144,290183.44986479694
percentile,,,120,93.0,0.4,off,308539.5061339662,374,52645.68406889045,63.63636363636363,0.25,38,0,290113.51670985454
z,0.8,0.35,,,,losing,322269.89572074334,682,97390.72827670572,76.53958944281526,3.5,91,148,288183.14082389633
percentile,,,90,95.0,0.3,always,301674.5833220152,342,41739.458525906,66.08187134502924,5.625,122,124,287065.7728379481
percentile,,,120,95.0,0.3,off,301142.2513422132,195,52645.684068890434,82.56410256410257,1.5,39,0,282716.2619181015
percentile,,,120,95.0,0.4,off,299066.66744304827,279,52797.84088771073,67.38351254480287,0.5,37,0,280587.4231323495
percentile,,,60,93.0,0.4,off,300275.0127433559,564,60479.85683541937,50.88652482269504,0.25,40,0,279107.06285095913
percentile,,,30,93.0,0.3,always,294794.0195070042,779,45980.84925819331,55.198973042362006,0.5,133,133,278700.7222666365
percentile,,,120,90.0,0.2,always,298484.86762439087,360,57885.92688126731,68.88888888888889,18.75,124,161,278224.79321594734
