entry,exit_z,total_pnl_rub,trade_count,max_drawdown_rub,gap,valid
0.5,1.5,-90316.17847359522,32,-98428.41881292226,-1.0,False
0.5,1.6,-87629.57642808203,28,-94120.54407585676,-1.1,False
0.5,1.7,-103892.8817471393,27,-109448.52314278838,-1.2,False
0.5,1.8,-91941.16644405134,23,-99055.51664496491,-1.3,False
0.5,1.9,-80703.58319819246,20,-87817.93339910603,-1.4,False
0.5,2.0,-84895.1013192338,19,-92009.45152014737,-1.5,False
0.5,2.1,-84624.69779189218,18,-91739.04799280575,-1.6,False
0.5,2.2,-31502.844232160598,7,-53455.6901765833,-1.7,False
0.5,2.3,-33369.80421472459,7,-52761.94444625893,-1.8,False
0.5,2.4,-32614.010815625494,6,-53111.32929687912,-1.9,False
0.5,2.5,-32381.935414600994,6,-53111.32929687912,-2.0,False
0.6,0.0,144190.1253166973,79,-47396.44222656451,0.6,True
0.6,0.1,145387.25069508486,91,-47396.44222656451,0.5,True
0.6,0.2,158786.18821257036,109,-47396.44222656451,0.4,True
0.6,0.3,156283.70550885698,126,-47396.44222656451,0.3,True
0.6,0.4,170387.23789657684,163,-47463.34525556103,0.2,True
0.6,0.5,169661.5013410565,227,-48066.65703349881,0.1,True
0.6,0.6,166116.69938013627,342,-47667.35822323369,0.0,False
0.6,0.7,46055.786270333236,164,-31600.079741113346,-0.1,False
0.6,0.8,35408.508860477865,103,-31945.769750363972,-0.2,False
0.6,0.9,-17791.83900478,102,-64965.959599749425,-0.3,False
0.6,1.0,5140.820989107731,80,-43635.47654635241,-0.4,False
0.6,1.1,-14995.783415602831,67,-56307.60285946044,-0.5,False
0.6,1.2,-42956.743263813085,48,-51598.21199320417,-0.6,False
0.6,1.3,-55105.464424913516,47,-63356.43083553589,-0.7,False
0.6,1.4,-59099.93002200386,42,-67283.2483930105,-0.8,False
0.6,1.5,-70269.45669869096,35,-79012.98108301478,-0.9,False
0.6,1.6,-66960.2409870047,28,-73451.20863477941,-1.0,False
0.6,1.7,-80292.09170503929,25,-85847.73310068838,-1.1,False
0.6,1.8,-70034.89454204062,22,-77149.2447429542,-1.2,False
0.6,1.9,-69206.77941592636,21,-76321.12961683991,-1.3,False
0.6,2.0,-72110.5214770642,19,-79224.87167797778,-1.4,False
0.6,2.1,-84610.46134084913,17,-91724.8115417627,-1.5,False
0.6,2.2,-35848.10946735878,8,-53455.6901765833,-1.6,False
0.6,2.3,-37715.06944992277,8,-53118.11865080873,-1.7,False
0.6,2.4,-36959.276050823675,7,-53489.37090211915,-1.8,False
0.6,2.5,-37534.993654571335,7,-54065.088505866814,-1.9,False
0.7,0.0,127532.80369049197,70,-47396.4422265645,0.7,True
0.7,0.1,136967.4813833771,79,-47396.44222656451,0.6,True
0.7,0.2,152541.86810571654,93,-47396.44222656451,0.5,True
0.7,0.3,156744.85015521824,109,-47396.44222656451,0.4,True
0.7,0.4,178925.05558552523,141,-47250.28727025099,0.3,True
0.7,0.5,187116.575597816,187,-47481.420821905136,0.2,True
0.7,0.6,191471.40434163058,254,-47304.26479436955,0.1,True
0.7,0.7,145961.38085453826,377,-49380.70190795453,0.0,False
0.7,0.8,78508.4028801755,192,-25993.440376768354,-0.1,False
0.7,0.9,14669.92956255095,141,-46042.61958654622,-0.2,False
0.7,1.0,1685.521500116433,131,-48008.798812864334,-0.3,False
0.7,1.1,-36018.70464977893,113,-78572.80527295398,-0.4,False
0.7,1.2,-75849.7706638638,80,-83969.48811608768,-0.5,False
0.7,1.3,-79893.14045388592,72,-88414.05062260145,-0.6,False
0.7,1.4,-89178.26126022558,64,-97631.52338932538,-0.7,False
0.7,1.5,-69525.144156213,40,-78345.38564395257,-0.8,False
0.7,1.6,-66669.80216699193,32,-74339.48659023453,-0.9,False
0.7,1.7,-83501.75696665648,28,-91171.44138989909,-1.0,False
0.7,1.8,-75180.6912364219,25,-82850.3756596645,-1.1,False
0.7,1.9,-72536.0377642719,23,-80205.7221875145,-1.2,False
0.7,2.0,-76854.34405851059,21,-84524.0284817532,-1.3,False
0.7,2.1,-89283.59668809743,19,-96953.28111134004,-1.4,False
0.7,2.2,-37513.64430620767,9,-53455.6901765833,-1.5,False
0.7,2.3,-40489.70211899624,9,-55892.751319882205,-1.6,False
0.7,2.4,-39910.6529059436,8,-56440.74775723908,-1.7,False
0.7,2.5,-35845.739531191975,7,-53111.32929687912,-1.8,False
0.8,0.0,111982.87301696517,62,-47396.4422265645,0.8,True
0.8,0.1,122492.7391680878,69,-47396.4422265645,0.7,True
0.8,0.2,142109.49014751695,81,-47396.44222656451,0.6,True
0.8,0.3,150480.71556093745,95,-47396.44222656451,0.5,True
0.8,0.4,183446.36177851955,122,-42965.765220130445,0.4,True
0.8,0.5,188969.68922299577,154,-44426.616951465054,0.3,True
0.8,0.6,206412.4210833319,205,-43410.1840205559,0.2,True
0.8,0.7,200549.87166431395,282,-41825.73740318118,0.1,True
0.8,0.8,168007.3676993872,444,-42986.882388974875,0.0,False
0.8,0.9,28075.837275130274,241,-54452.60440139567,-0.1,False
0.8,1.0,-15388.087414526555,177,-36492.14923864612,-0.2,False
0.8,1.1,-78228.52625774495,143,-90277.43133226849,-0.3,False
0.8,1.2,-90785.58957111946,102,-99391.15733586789,-0.4,False
0.8,1.3,-97397.84165292817,90,-106196.63607235397,-0.5,False
0.8,1.4,-102353.79530394264,78,-112331.13089245865,-0.6,False
0.8,1.5,-87517.78840715249,50,-97933.18138598789,-0.7,False
0.8,1.6,-54030.35975012758,37,-79124.77008450696,-0.8,False
0.8,1.7,-76624.02411405293,35,-92131.56880793654,-0.9,False
0.8,1.8,-74438.48388622959,31,-89510.45916201988,-1.0,False
