entry,exit_z,total_pnl_rub,trade_count,max_drawdown_rub,gap,valid
0.4,0.3,958048.5995770139,1636,-47396.44222656451,0.1,True
0.4,0.4,837628.435533776,2206,-49359.94201411237,0.0,False
0.4,0.5,215827.1040087036,1335,-43168.01865327652,-0.1,False
0.4,0.6,-17297.148702489194,913,-105803.16621411736,-0.2,False
0.4,0.7,-179369.49301147254,671,-241483.6152292145,-0.3,False
0.4,0.8,-204236.39433896964,471,-265078.0416619409,-0.4,False
0.4,0.9,-261068.81536643213,371,-316465.83452974906,-0.5,False
0.4,1.0,-266160.1919781567,275,-318014.65867781674,-0.6,False
0.4,1.1,-284242.22314375965,233,-340093.256091664,-0.7,False
0.4,1.2,-297119.3050118474,184,-318161.97945281427,-0.8,False
0.4,1.3,-298020.0669157334,153,-317818.3614592241,-0.9,False
0.4,1.4,-333134.56858286564,151,-349757.43858241115,-1.0,False
0.4,1.5,-332381.89404171176,132,-349739.23731272225,-1.1,False
0.4,1.6,-315637.65454580414,114,-333114.38299173524,-1.2,False
0.4,1.7,-339249.7676288939,106,-354280.7274096555,-1.3,False
0.4,1.8,-360055.3214844015,100,-380342.04751339066,-1.4,False
0.4,1.9,-340455.8465251831,83,-359328.6012768701,-1.5,False
0.4,2.0,-335684.1509269841,74,-354616.6582060563,-1.6,False
0.4,2.1,-265587.1585081044,52,-295817.9787949096,-1.7,False
0.4,2.2,-251096.73996720475,46,-289690.9425624052,-1.8,False
0.4,2.3,-254398.06258735072,46,-292662.2984505879,-1.9,False
0.4,2.4,-244618.58130465713,39,-280820.102975995,-2.0,False
0.4,2.5,-232093.09028790757,34,-268294.6119592454,-2.1,False
0.5,0.0,904335.361549984,721,-47396.44222656451,0.5,True
0.5,0.1,980931.5102377015,866,-47396.44222656451,0.4,True
0.5,0.2,1020746.0937429038,1035,-47396.44222656451,0.3,True
0.5,0.3,994606.0180505946,1264,-47396.44222656451,0.2,True
0.5,0.4,980370.3337807468,1629,-48717.87106830848,0.1,True
0.5,0.5,832712.6082251596,2203,-50390.066456697765,0.0,False
0.5,0.6,206360.8842298447,1270,-51267.31114755818,-0.1,False
0.5,0.7,-100712.75435210942,866,-150538.72590823664,-0.2,False
0.5,0.8,-178101.12407619375,586,-249404.51701492406,-0.3,False
0.5,0.9,-287415.1700309894,465,-347237.0895137434,-0.4,False
0.5,1.0,-313741.0687598726,339,-372222.56175157084,-0.5,False
0.5,1.1,-351971.48279894015,296,-414711.44086542516,-0.6,False
0.5,1.2,-340422.0600466242,222,-365039.71766533947,-0.7,False
0.5,1.3,-339572.07740689855,186,-362536.5072483573,-0.8,False
0.5,1.4,-384123.599399365,186,-402349.88737463305,-0.9,False
0.5,1.5,-398896.1402566528,161,-410878.96040468727,-1.0,False
0.5,1.6,-384736.61966860143,145,-395365.8125245674,-1.1,False
0.5,1.7,-390412.637927126,124,-398078.0864742757,-1.2,False
0.5,1.8,-373022.59598648065,110,-396023.6843494357,-1.3,False
0.5,1.9,-333963.64170490747,84,-355705.8489734374,-1.4,False
0.5,2.0,-335856.79034825304,74,-357658.7501441681,-1.5,False
0.5,2.1,-322553.6279052171,61,-355067.637895831,-1.6,False
0.5,2.2,-270853.66339412716,46,-309265.4265758391,-1.7,False
0.5,2.3,-274518.7659221302,46,-312600.56237187894,-1.8,False
0.5,2.4,-278844.6988821767,41,-315046.2205535146,-1.9,False
0.5,2.5,-271924.39479833195,37,-308125.91646966984,-2.0,False
